Scanning 3400 files...
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_60040862.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_66884173.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_76066775.md (normalized_dashes)
  FIXED: 2025-04-29_i_got_a_few_errors_this_is_what_it_gave_me_PS_CUsersBryan_CU_73255246.md (normalized_dashes)
  FIXED: 2025-05-26_Start_research_55631979.md (normalized_dashes)
  FIXED: 2025-06-19_i_need_help_debugging_the_wsl2_environment_working_on_runnin_39278899.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_F_homebry_20599674.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_total_1_89503853.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__44293653.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__54906912.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webuirequirements__74369314.md (normalized_dashes)
  FIXED: 2025-06-19_venv_bryan_DESKTOP_NG2I0P2text_generation_webuirequirementsf_71307347.md (normalized_dashes)
  FIXED: 2025-06-23_140916_767493_INFO_Loading_Nous_Hermes_2_Mistral_7B_DPOQ5_K__56101520.md (normalized_dashes)
  FIXED: 2025-06-23_141853_817920_INFO_Loading_Nous_Hermes_2_Mistral_7B_DPOQ5_K__55830168.md (normalized_dashes)
  FIXED: 2025-06-23_142124_003826_INFO_Loading_Nous_Hermes_2_Mistral_7B_DPOQ5_K__46071157.md (normalized_dashes)
  FIXED: 2025-06-23_142602_382703_INFO_Loading_Nous_Hermes_2_Mistral_7B_DPOQ5_K__17090104.md (normalized_dashes)
  FIXED: 2025-06-23_144344_528490_INFO_Loading_Nous_Hermes_2_Mistral_7B_DPOQ5_K__74767460.md (normalized_dashes)
  FIXED: 2025-06-23_Cvenv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_Pyt_34838457.md (normalized_dashes)
  FIXED: 2025-06-23_PS_CUsersBryan_wsl_l_v_NAME_STATE_VERSION_Ubuntu_Stopped_2_P_33217847.md (normalized_dashes)
  FIXED: 2025-06-23_all_i_see_on_the_left_is_chat_notebook_parameters_character__39868236.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2_cd_text_generation_webui_bryan_DESKTOP_64004879.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2_cd_text_generation_webui_bryan_DESKTOP_88504447.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2_find_iname_nous_hermes_2_mistral_7b_pr_58650980.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2text_generation_webui_pip3_install_r_re_19972847.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_m_venv_ve_86957756.md (normalized_dashes)
  FIXED: 2025-06-23_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serverpy__29869278.md (normalized_dashes)
  FIXED: 2025-06-23_can_you_gather_some_of_those_for_me_74884083.md (normalized_dashes)
  FIXED: 2025-06-23_could_it_be_because_i_didnt_download_oobabooga_from_the_webs_51823174.md (normalized_dashes)
  FIXED: 2025-06-23_for_sure_i_was_just_curious_so_now_that_we_have_those_few_th_58741353.md (normalized_dashes)
  FIXED: 2025-06-23_give_me_5_to_10_of_the_top_documents_i_should_include_for_th_61117065.md (normalized_dashes)
  FIXED: 2025-06-23_honestly_the_model_seems_able_to_handle_these_sorts_of_quest_74739531.md (normalized_dashes)
  FIXED: 2025-06-23_how_do_we_check_what_version_of_oobabooga_were_on_to_see_why_34452159.md (normalized_dashes)
  FIXED: 2025-06-23_i_didnt_make_that_startup_script_so_scratch_that_but_didnt_w_46359312.md (normalized_dashes)
  FIXED: 2025-06-23_i_still_have_oobabooga_open_and_i_havent_made_the_data_sourc_78003579.md (normalized_dashes)
  FIXED: 2025-06-23_if_data_in_response_and_lenresponsedata_0_model_info_respons_58332217.md (normalized_dashes)
  FIXED: 2025-06-23_if_i_were_to_gather_these_documents_what_would_be_the_most_d_79446769.md (normalized_dashes)
  FIXED: 2025-06-23_im_at_the_extension_part_this_is_all_i_see_58624149.md (normalized_dashes)
  FIXED: 2025-06-23_im_here_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_90256384.md (normalized_dashes)
  FIXED: 2025-06-23_in_order_to_find_where_this_model_is_what_do_i_need_to_do_50773880.md (normalized_dashes)
  FIXED: 2025-06-23_is_it_not_under_character_in_the_top_left_part_49599822.md (normalized_dashes)
  FIXED: 2025-06-23_is_there_a_way_to_easily_boot_straight_up_and_get_going_in_o_84779426.md (normalized_dashes)
  FIXED: 2025-06-23_lets_go_with_option_1_since_its_recommended_and_cleanest_sol_59116196.md (normalized_dashes)
  FIXED: 2025-06-23_so_Im_here_bryan_DESKTOP_NG2I0P2_32235643.md (normalized_dashes)
  FIXED: 2025-06-23_so_for_this_particular_use_case_im_working_on_making_this_a__14911032.md (normalized_dashes)
  FIXED: 2025-06-23_so_now_that_i_have_the_character_behaving_properly_gave_it_a_78870267.md (normalized_dashes)
  FIXED: 2025-06-23_so_now_that_i_have_the_model_interacting_within_oobabooga_wh_60810999.md (normalized_dashes)
  FIXED: 2025-06-23_so_the_model_popped_up_finally_in_the_drop_down_menu_but_whe_16104995.md (normalized_dashes)
  FIXED: 2025-06-23_the_only_thing_that_pops_up_under_the_right_side_is_assistan_88719692.md (normalized_dashes)
  FIXED: 2025-06-23_this_is_what_i_see_in_between_these_lines_response_selfsessi_46324522.md (normalized_dashes)
  FIXED: 2025-06-23_this_still_all_i_see_character_bias_coqui_tts_example_galler_75257393.md (normalized_dashes)
  FIXED: 2025-06-23_this_what_i_have_now_if_data_in_response_and_lenresponsedata_16585761.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_text_gene_73403468.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_deactivate_b_70861130.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_git_fetch_or_91649516.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_git_pull_ff__23561054.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_git_pull_rem_13644899.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_la_requir_10352155.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_la_requir_84518424.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_la_total__50328506.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_requireme_16727354.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__17842645.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__19878584.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__28493807.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__58021312.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__63370780.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_11954655.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_40286245.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_81046622.md (normalized_dashes)
  FIXED: 2025-06-23_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_start_linuxs_90771704.md (normalized_dashes)
  FIXED: 2025-06-23_what_should_i_name_the_chatbot_27325787.md (normalized_dashes)
  FIXED: 2025-06-23_without_the_startup_script_how_would_i_go_about_it_28208066.md (normalized_dashes)
  FIXED: 2025-06-23_yeah_it_doesnt_let_me_scroll_down_30789639.md (normalized_dashes)
  FIXED: 2025-06-24_Hit1_httparchiveubuntucomubuntu_noble_InRelease_Get2_httparc_42165708.md (normalized_dashes)
  FIXED: 2025-06-24_Installing_collected_packages_markdown_Successfully_installe_44966475.md (normalized_dashes)
  FIXED: 2025-06-24_ModuleNotFoundError_No_module_named_gradio_bryan_DESKTOP_NG2_47555505.md (normalized_dashes)
  FIXED: 2025-06-24_Untitled_Gemini_73987782.md (normalized_dashes)
  FIXED: 2025-06-24_after_running_step_2_i_got_venv_bryan_DESKTOP_NG2I0P2text_ge_11389357.md (normalized_dashes)
  FIXED: 2025-06-24_are_those_also_safe_to_remove_i_want_no_residuals_from_anyth_52035527.md (normalized_dashes)
  FIXED: 2025-06-24_bet_so_the_last_thing_that_happened_was_this_bryan_DESKTOP_N_47230899.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_cd_text_generation_webui_bryan_DESKTOP_30179566.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_cd_text_generation_webui_bryan_DESKTOP_30544776.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_cd_text_generation_webuiextensions_bry_40665107.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_cd_text_generation_webuiuser_datamodel_44754073.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_python312_version_Python_3123_bryan_DE_44185200.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_apt_install_reinstall_python312_p_75232000.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_apt_reinstall_install_command_not_46314773.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_apt_reinstall_install_python3_apt_21466879.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_apt_update_Hit1_httparchiveubuntu_58485357.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_apt_update_sudo_apt_y_install_cud_86636800.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_update_alternatives_config_python_29681923.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_sudo_update_alternatives_install_usrbi_77138635.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_wget_httparchiveubuntucomubuntupoolmai_63271876.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_wget_httpsecurityubuntucomubuntupoolma_37795850.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_wget_httpsecurityubuntucomubuntupoolma_49560545.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_wget_httpsecurityubuntucomubuntupoolma_92115487.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2_which_python312_usrbinpython312_bryan__66742614.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_models_ls_F_br_78536307.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_text_generatio_20853156.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_text_generatio_25411126.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webui_find_iname_Nous_H_41409033.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuiextensions_cd_text_36394251.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuiextensions_cd_text_62803103.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuirepositories_cd_ll_78886934.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuirepositoriesllamac_15333951.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuirepositoriesllamac_69258641.md (normalized_dashes)
  FIXED: 2025-06-24_bryan_DESKTOP_NG2I0P2text_generation_webuiuser_datamodels_cd_57290367.md (normalized_dashes)
  FIXED: 2025-06-24_did_all_that_and_got_this_Closing_server_running_on_port_786_66788369.md (normalized_dashes)
  FIXED: 2025-06-24_did_step_4_this_what_happened_venv_bryan_DESKTOP_NG2I0P2text_20178730.md (normalized_dashes)
  FIXED: 2025-06-24_did_those_two_things_this_is_where_we_are_venv_bryan_DESKTOP_11527433.md (normalized_dashes)
  FIXED: 2025-06-24_do_i_need_out_of_venv_before_running_these_commands_69568234.md (normalized_dashes)
  FIXED: 2025-06-24_edge_didnt_have_the_tab_either_82536030.md (normalized_dashes)
  FIXED: 2025-06-24_got_step_2_down_this_is_what_i_got_bryan_DESKTOP_NG2I0P2_whi_23806789.md (normalized_dashes)
  FIXED: 2025-06-24_homebryan_text_generation_webuivenvlibpython312site_packages_36555040.md (normalized_dashes)
  FIXED: 2025-06-24_i_clicked_the_box_and_saved_it_but_in_wsl2_this_happened_Clo_31666601.md (normalized_dashes)
  FIXED: 2025-06-24_i_dont_see_Successfully_installed_but_the_prompt_put_me_back_26091108.md (normalized_dashes)
  FIXED: 2025-06-24_i_want_my_whole_project_that_ive_worked_on_to_be_gone_from_w_37123108.md (normalized_dashes)
  FIXED: 2025-06-24_it_just_went_from_installing_that_long_list_to_being_done_an_76282812.md (normalized_dashes)
  FIXED: 2025-06-24_just_to_make_sure_the_model_im_talking_about_isnt_anywhere_h_11434972.md (normalized_dashes)
  FIXED: 2025-06-24_nothing_pops_up_here_when_i_run_that_command_but_i_can_run_t_29405846.md (normalized_dashes)
  FIXED: 2025-06-24_on_step_5_this_is_what_i_got_venv_bryan_DESKTOP_NG2I0P2text__39452780.md (normalized_dashes)
  FIXED: 2025-06-24_running_the_url_didnt_connect_to_the_webui_the_thing_i_got_w_19659211.md (normalized_dashes)
  FIXED: 2025-06-24_so_from_bryan_DESKTOP_NG2I0P2text_generation_webuirepositori_41766435.md (normalized_dashes)
  FIXED: 2025-06-24_so_when_running_step_2_after_doing_the_nano_step_i_press_ent_42485579.md (normalized_dashes)
  FIXED: 2025-06-24_starting_with_step_1_i_got_bryan_DESKTOP_NG2I0P2_ls_l_usrbin_69237513.md (normalized_dashes)
  FIXED: 2025-06-24_sudo_update_alternatives_config_python3_update_alternatives__67951237.md (normalized_dashes)
  FIXED: 2025-06-24_superbooga_is_checked_but_i_dont_see_a_tab_for_it_43779850.md (normalized_dashes)
  FIXED: 2025-06-24_this_is_what_happened_so_far_venv_bryan_DESKTOP_NG2I0P2text__52919213.md (normalized_dashes)
  FIXED: 2025-06-24_this_is_whats_around_line_230_47506370.md (normalized_dashes)
  FIXED: 2025-06-24_this_part_54193586.md (normalized_dashes)
  FIXED: 2025-06-24_this_time_this_happened_venv_bryan_DESKTOP_NG2I0P2text_gener_90772314.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2_rm_rf_text_generation_webui_venv__37623683.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_TRANSFORMERS_22527841.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_debug_se_14420480.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_debug_se_16749478.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_debug_se_20336125.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_debug_se_57657094.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_debug_se_87996801.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_gitmodul_22455134.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_requirem_25153508.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_requirem_40091782.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cat_server_o_21881263.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_text_gene_14986010.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_text_gene_15567991.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_cd_venv_brya_48192665.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_echo_0_venv__31499781.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_git_submodul_31105184.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_extensi_22780170.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_llamacp_76674418.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_reposit_35752015.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_reposit_89215143.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_require_55769292.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_require_56730031.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_require_70537616.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_require_74267394.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_require_81649515.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_ls_l_total_2_73264153.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_nano_gradio__59061089.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__10469916.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__14089259.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__19878584.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__37831794.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__63370780.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__64956075.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__71094136.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_install__78247096.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pip_uninstal_13695073.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_pwd_homebrya_54371041.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_down_25612803.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_19273086.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_38346465.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_53736139.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_69231200.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_70795127.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_75508124.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_serv_82282506.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python3_vers_11652607.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_python_versi_23498816.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webui_rm_rf_venv_v_54268784.md (normalized_dashes)
  FIXED: 2025-06-24_venv_bryan_DESKTOP_NG2I0P2text_generation_webuiextensionssup_60100010.md (normalized_dashes)
  FIXED: 2025-06-24_well_now_the_superboogav2_box_is_unchecked_and_during_this_s_50072630.md (normalized_dashes)
  FIXED: 2025-06-24_when_i_ran_that_command_it_didnt_download_anything_and_outpu_50907426.md (normalized_dashes)
  FIXED: 2025-06-24_working_on_step_2_one_command_at_a_time_and_got_this_bryan_D_56156095.md (normalized_dashes)
  FIXED: 2025-06-24_working_on_the_first_option_Im_here_venv_bryan_DESKTOP_NG2I0_13499504.md (normalized_dashes)
  FIXED: 2025-06-25_FAILED_vendorllamacpptoolsmtmdllama_llava_clip_quantize_cli__73878197.md (normalized_dashes)
  FIXED: 2025-06-25_PS_CWINDOWSsystem32_wsl_list_verbose_Windows_Subsystem_for_L_31624298.md (normalized_dashes)
  FIXED: 2025-06-25_You_can_undo_this_by_running_conda_init_reverse_SHELL_yesno__35394227.md (normalized_dashes)
  FIXED: 2025-06-25_base_bryan_DESKTOP_NG2I0P2_49701343.md (normalized_dashes)
  FIXED: 2025-06-25_base_bryan_DESKTOP_NG2I0P2_git_clone_httpsgithubcomoobabooga_84283910.md (normalized_dashes)
  FIXED: 2025-06-25_bryan_DESKTOP_NG2I0P2_nvidia_smi_Wed_Jun_25_113057_2025_NVID_65098262.md (normalized_dashes)
  FIXED: 2025-06-25_did_both_and_this_was_the_output_Hit1_httparchiveubuntucomub_44165531.md (normalized_dashes)
  FIXED: 2025-06-25_did_everything_up_to_load_and_got_Downloading_Nous_Hermes_2__78131784.md (normalized_dashes)
  FIXED: 2025-06-25_i_ran_step_2_and_it_says_Preparing_transaction_done_Executin_24082978.md (normalized_dashes)
  FIXED: 2025-06-25_i_see_lllm_assist_and_then_bryan_DESKTOP_NG2I0P2_87486329.md (normalized_dashes)
  FIXED: 2025-06-25_llm_assist_bryan_DESKTOP_NG2I0P2_CMAKE_ARGS_DGGML_CUDAon_FOR_23993800.md (normalized_dashes)
  FIXED: 2025-06-25_llm_assist_bryan_DESKTOP_NG2I0P2_CMAKE_ARGS_DLLAMA_CUBLASon__26701633.md (normalized_dashes)
  FIXED: 2025-06-25_llm_assist_bryan_DESKTOP_NG2I0P2_conda_install_c_conda_forge_68709649.md (normalized_dashes)
  FIXED: 2025-06-25_llm_assist_bryan_DESKTOP_NG2I0P2_export_LD_LIBRARY_PATHLD_LI_70567312.md (normalized_dashes)
  FIXED: 2025-06-25_llm_assist_bryan_DESKTOP_NG2I0P2_python_c_import_torch_print_90467877.md (normalized_dashes)
  FIXED: 2025-06-25_my_fault_it_doesnt_let_me_paste_the_entire_message_because_i_55019627.md (normalized_dashes)
  FIXED: 2025-06-25_no_im_asking_if_i_should_proceed_or_if_it_mattered_that_I_ra_79116852.md (normalized_dashes)
  FIXED: 2025-06-25_opened_it_and_got_here_To_run_a_command_as_administrator_use_64552733.md (normalized_dashes)
  FIXED: 2025-06-25_ran_step_1_and_got_base_bryan_DESKTOP_NG2I0P2_conda_create_n_90007174.md (normalized_dashes)
